
================================================================================
TRENDFOLOWER TRAINING DIAGNOSTIC LOG
================================================================================
Timestamp: 2025-12-09T22:34:35.218451
Log File:  logs\training_diagnostic_20251209_223435.txt
================================================================================

PURPOSE: This log captures internal state during training to help identify:
- Data leakage (features that shouldn't be used)
- Label distribution issues
- Feature-label correlations that are too high (suspicious)
- Model behavior anomalies
- Any other issues with the training pipeline



================================================================================
[SECTION] Backtest After Training
================================================================================
Time: 2025-12-09T22:34:35.219566
  backtest_test_samples: 1725
  backtest_test_start_idx: 9769


================================================================================
[SECTION] Backtest Execution
================================================================================
Time: 2025-12-09T22:35:16.925598
  backtest_bars: 1725
  backtest_initial_capital: 10000.0
  backtest_min_quality: C
  backtest_min_trend_prob: 0.5
  backtest_min_bounce_prob: 0.5
  backtest_stop_loss_atr: 1.0
  backtest_take_profit_rr: 2.0

  ✓ VERIFIED: No label columns in feature_cols
  feature_count: 479

  First 10 feature columns: ['1m_value', '1m_net_side', '1m_net_volume', '1m_net_value', '1m_avg_tick_dir', '1m_buy_volume', '1m_sell_volume', '1m_buy_sell_imbalance', '1m_vwap', '1m_trade_intensity']

  Signal Statistics:
  backtest_total_bars: 1725
  backtest_signals_checked: 1474
  backtest_trend_up_signals: 245
  backtest_trend_down_signals: 253
  backtest_trend_neutral_signals: 976
  backtest_quality_A: 9
  backtest_quality_B: 84
  backtest_quality_C: 1381
  backtest_rejected_quality: 0
  backtest_rejected_trend_prob: 38
  backtest_rejected_bounce_prob: 1042
  backtest_accepted_signals: 95

  Signal Breakdown (of 1474 bars checked):
    Trend UP predictions:    245 (16.6%)
    Trend DOWN predictions:  253 (17.2%)
    Trend NEUTRAL predictions: 976 (66.2%)

    Quality A signals: 9
    Quality B signals: 84
    Quality C signals: 1381

    Rejected (quality):      0
    Rejected (trend prob):   38
    Rejected (bounce prob):  1042
    ACCEPTED signals:        95

  Trade Details:
    #   Entry Time           Exit Time            Dir   Entry      Exit       P&L        Result Grade Exit Reason 
    -------------------------------------------------------------------------------------------------------------------
    72  2025-12-08 16:18     2025-12-08 16:20     LONG  407.040009 411.435721 $2991.80   WIN    B     take_profit 
    73  2025-12-08 16:25     2025-12-08 16:27     LONG  416.570007 422.987161 $3111.47   WIN    B     take_profit 
    74  2025-12-08 17:41     2025-12-08 17:50     LONG  413.200012 416.762878 $3235.93   WIN    C     take_profit 
    75  2025-12-08 18:20     2025-12-08 18:22     SHORT 418.649994 416.308559 $3365.37   WIN    B     take_profit 
    76  2025-12-08 18:21     2025-12-08 18:23     SHORT 418.559998 416.264278 $3499.98   WIN    B     take_profit 
    77  2025-12-08 18:22     2025-12-08 18:27     SHORT 415.920013 413.272866 $3639.98   WIN    C     take_profit 
    78  2025-12-08 18:26     2025-12-08 18:28     SHORT 413.899994 411.058563 $3785.58   WIN    B     take_profit 
    79  2025-12-08 18:28     2025-12-08 18:30     LONG  408.100006 406.354292 $-1968.50  LOSS   C     stop_loss   
    80  2025-12-08 19:10     2025-12-08 19:16     SHORT 410.350006 407.161434 $3858.27   WIN    B     take_profit 
    81  2025-12-08 19:20     2025-12-08 19:23     SHORT 409.790009 407.018576 $4012.60   WIN    A     take_profit 
    82  2025-12-08 19:22     2025-12-08 19:24     SHORT 408.820007 406.010005 $4173.10   WIN    B     take_profit 
    83  2025-12-08 19:55     2025-12-08 20:03     SHORT 406.100006 407.438586 $-2170.01  LOSS   B     stop_loss   
    84  2025-12-08 21:25     2025-12-08 21:29     LONG  409.230011 411.380009 $4253.22   WIN    C     take_profit 
    85  2025-12-08 21:47     2025-12-08 21:52     LONG  413.500000 415.964294 $4423.35   WIN    B     take_profit 
    86  2025-12-08 21:55     2025-12-08 21:58     LONG  413.470001 415.770020 $4600.29   WIN    B     take_profit 
    87  2025-12-08 23:00     2025-12-08 23:03     SHORT 413.799988 412.052848 $4784.30   WIN    B     take_profit 
    88  2025-12-08 23:02     2025-12-08 23:04     SHORT 412.980011 411.018590 $4975.67   WIN    A     take_profit 
    89  2025-12-08 23:03     2025-12-08 23:05     SHORT 411.950012 409.972874 $5174.70   WIN    B     take_profit 
    90  2025-12-08 23:08     2025-12-08 23:11     SHORT 411.309998 412.452853 $-2690.84  LOSS   B     stop_loss   
    91  2025-12-08 23:11     2025-12-08 23:17     SHORT 412.140015 409.784306 $5274.05   WIN    B     take_profit 
    92  2025-12-08 23:16     2025-12-08 23:18     SHORT 410.940002 408.640002 $5485.01   WIN    B     take_profit 
    93  2025-12-08 23:30     2025-12-08 23:34     SHORT 408.170013 405.358590 $5704.41   WIN    A     take_profit 
    94  2025-12-08 23:40     2025-12-08 23:50     SHORT 406.899994 404.345703 $5932.59   WIN    A     take_profit 
    95  2025-12-08 23:56     2025-12-08 23:59     SHORT 405.690002 405.100006 $1641.85   WIN    A     end_of_data 

  Trade Probabilities:
    #   TrendP   BounceP   Pullback   Aligned   
    ---------------------------------------------
    1   92.1%    53.9%     No         Yes       
    2   53.4%    57.4%     No         No        
    3   59.9%    52.6%     No         Yes       
    4   54.1%    55.8%     No         No        
    5   50.1%    57.5%     No         No        
    6   85.9%    65.1%     No         No        
    7   65.6%    59.5%     Yes        No        
    8   88.7%    57.8%     Yes        Yes       
    9   74.1%    56.9%     No         Yes       
    10  68.4%    56.2%     No         Yes       
    11  81.5%    82.0%     No         Yes       
    12  65.8%    74.7%     No         Yes       
    13  59.2%    66.3%     No         Yes       
    14  83.6%    85.4%     Yes        Yes       
    15  79.8%    86.1%     No         Yes       
    16  62.5%    68.0%     No         Yes       
    17  60.4%    80.9%     No         Yes       
    18  50.8%    78.3%     No         Yes       
    19  52.5%    79.8%     No         Yes       
    20  63.0%    57.0%     No         No        
    21  56.6%    77.8%     No         Yes       
    22  54.6%    83.9%     No         Yes       
    23  54.8%    86.3%     No         Yes       
    24  86.4%    57.1%     No         No        
    25  60.0%    51.6%     No         No        
    26  91.2%    79.6%     Yes        No        
    27  77.0%    81.7%     No         No        
    28  62.4%    55.4%     No         No        
    29  53.3%    54.7%     No         No        
    30  71.7%    52.2%     Yes        No        
    31  57.5%    54.5%     No         No        
    32  53.2%    53.9%     No         No        
    33  84.8%    68.4%     Yes        No        
    34  70.7%    70.9%     Yes        No        
    35  66.9%    76.8%     Yes        Yes       
    36  60.7%    95.5%     No         Yes       
    37  84.8%    95.0%     No         Yes       
    38  50.8%    93.0%     No         Yes       
    39  74.8%    94.9%     No         Yes       
    40  58.0%    90.7%     No         Yes       
    41  65.4%    92.5%     No         Yes       
    42  51.4%    91.8%     No         Yes       
    43  56.2%    85.4%     No         No        
    44  56.3%    87.8%     No         No        
    45  50.6%    54.0%     No         No        
    46  87.8%    65.1%     No         No        
    47  76.1%    86.2%     No         Yes       
    48  81.5%    86.6%     No         Yes       
    49  59.7%    83.8%     No         Yes       
    50  51.2%    56.2%     No         No        
    51  82.5%    85.6%     No         No        
    52  69.6%    65.7%     Yes        No        
    53  65.2%    68.3%     No         Yes       
    54  63.5%    87.9%     Yes        No        
    55  66.1%    59.4%     No         No        
    56  56.4%    60.6%     No         No        
    57  88.6%    77.8%     No         Yes       
    58  88.6%    82.4%     No         No        
    59  50.1%    62.7%     No         No        
    60  61.5%    58.6%     No         No        
    61  65.9%    61.5%     Yes        Yes       
    62  90.1%    90.9%     Yes        No        
    63  89.1%    91.0%     No         No        
    64  81.9%    88.6%     No         Yes       
    65  59.6%    84.4%     No         Yes       
    66  50.0%    88.2%     No         Yes       
    67  61.1%    85.1%     No         Yes       
    68  66.7%    57.0%     Yes        No        
    69  85.3%    58.8%     Yes        Yes       
    70  76.8%    71.1%     No         Yes       
    71  58.2%    52.4%     No         Yes       
    72  85.6%    77.3%     No         Yes       
    73  56.9%    86.7%     No         Yes       
    74  54.3%    60.1%     No         No        
    75  95.3%    52.3%     Yes        No        
    76  96.1%    59.7%     Yes        No        
    77  81.3%    74.6%     No         No        
    78  58.9%    76.4%     No         Yes       
    79  53.5%    66.7%     No         No        
    80  65.1%    50.2%     Yes        No        
    81  77.7%    61.9%     Yes        Yes       
    82  65.0%    50.8%     Yes        Yes       
    83  52.8%    65.2%     No         Yes       
    84  86.8%    57.8%     No         No        
    85  74.1%    57.3%     Yes        Yes       
    86  83.3%    70.2%     No         Yes       
    87  93.8%    70.1%     Yes        No        
    88  93.6%    75.3%     Yes        Yes       
    89  72.4%    78.1%     No         Yes       
    90  50.6%    53.6%     No         Yes       
    91  87.1%    51.6%     Yes        Yes       
    92  88.3%    70.1%     No         Yes       
    93  63.5%    77.2%     Yes        Yes       
    94  67.9%    67.3%     Yes        Yes       
    95  59.5%    67.1%     Yes        Yes       
  backtest_total_trades: 95
  backtest_win_rate: 0.8315789473684211
  backtest_total_pnl: 145889.18481590753
  backtest_profit_factor: 11.514794865806214

  ✓ VERIFIED: One position at a time (matches live trading)


================================================================================
GRADE ANALYSIS - INVESTIGATING A-GRADE PERFORMANCE
================================================================================

  Grade Definitions:
    A: bounce_prob > 0.6 AND trend_aligned AND is_pullback
    B: bounce_prob > 0.5 AND (trend_aligned OR is_pullback)
    C: Everything else

  --- Grade A Analysis ---
    Total signals: 9
    Trades executed: 8
    Win rate: 100.0% (8W / 0L)

    WINNING trades (8):
      Avg trend_prob:   72.3%
      Avg bounce_prob:  71.6%
      Avg dist_from_ema: 0.19 ATR
      % in pullback:    100%
      % trend aligned:  100%
      Exit reasons: {'take_profit': 7, 'end_of_data': 1}

    LONG trades: 2, win rate: 100%
    SHORT trades: 6, win rate: 100%

  --- Grade B Analysis ---
    Total signals: 84
    Trades executed: 59
    Win rate: 86.4% (51W / 8L)

    WINNING trades (51):
      Avg trend_prob:   73.0%
      Avg bounce_prob:  72.6%
      Avg dist_from_ema: 1.00 ATR
      % in pullback:    35%
      % trend aligned:  75%
      Exit reasons: {'take_profit': 51}

    LOSING trades (8):
      Avg trend_prob:   53.5%
      Avg bounce_prob:  78.1%
      Avg dist_from_ema: 1.31 ATR
      % in pullback:    0%
      % trend aligned:  100%
      Exit reasons: {'stop_loss': 8}

    LONG trades: 44, win rate: 86%
    SHORT trades: 15, win rate: 87%

  --- Grade C Analysis ---
    Total signals: 1381
    Trades executed: 28
    Win rate: 71.4% (20W / 8L)

    WINNING trades (20):
      Avg trend_prob:   69.8%
      Avg bounce_prob:  65.7%
      Avg dist_from_ema: 1.93 ATR
      % in pullback:    0%
      % trend aligned:  0%
      Exit reasons: {'take_profit': 20}

    LOSING trades (8):
      Avg trend_prob:   54.0%
      Avg bounce_prob:  61.9%
      Avg dist_from_ema: 2.68 ATR
      % in pullback:    0%
      % trend aligned:  0%
      Exit reasons: {'stop_loss': 8}

    LONG trades: 17, win rate: 71%
    SHORT trades: 11, win rate: 73%

  --- Summary Comparison ---
    Grade  Signals    Trades   Win Rate   Avg BounceP 
    --------------------------------------------------
    A      9          8        100.0     % 71.6        %
    B      84         59       86.4      % 73.3        %
    C      1381       28       71.4      % 64.6        %

  --- Hypothesis Analysis ---
    A-grade avg bounce_prob: 71.6%
    B-grade avg bounce_prob: 73.3%


================================================================================
SUMMARY
================================================================================

Total Sections: 2

✓ No warnings detected

Log saved to: logs\training_diagnostic_20251209_223435.txt
JSON saved to: logs\training_diagnostic_20251209_223435.json
